名前,ID,アクタータイプ,座標X,座標Y,座標Z,回転X,回転Y,回転Z,大きさX,大きさY,大きさZ,モデルのパス,優先度,ゲームタグ,当たり判定無視,トリガー,重力を受ける,コリジョンの半径,コリジョンの高さ,パスをまとめたパス
Cube,17,Stage,10,1,10,0,0,0,2,2,2,Collision/Cube,Static,Object,0,0,0,0,0,None
Cube,18,Stage,10,2.5,0,0,0,0,5,5,5,Collision/Cube,Static,Object,0,0,0,0,0,None
Cube,21,Stage,10,1.5,5.84,0,0,0,3,3,3,Collision/Cube,Static,Object,0,0,0,0,0,None
Plane,20,Stage,0,0,0,0,0,0,10,1,10,Collision/Plane,Static,Object,0,0,0,0,0,None
DBK_Concrete_Floor_90_A,14,Stage,-4.81,0,-7.25,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Floor_90_A,Static,Object,1,0,0,0,0,None
DBK_Concete_Floor_Full,13,Stage,-13.08192,0,-7.166286,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Floor_Full,Static,Object,1,0,0,0,0,None
DBK_Concete_Wall_Full,12,Stage,-8.294349,0,-4.246407,2.504478E-06,0,0,1,1,1,Stage/DBK_Concete_Wall_Full,Static,Object,1,0,0,0,0,None
DBK_Concrete_Floor_End_B,11,Stage,-1.884328,0,-6.729404,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Floor_End_B,Static,Object,1,0,0,0,0,None
DBK_Concrete_Floor_Side_C,10,Stage,2.330228,0,-8.677017,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Floor_Side_C,Static,Object,1,0,0,0,0,None
DBK_Concrete_Pillar_A,9,Stage,5.68858,0,-6.950047,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Pillar_A,Static,Object,1,0,0,0,0,None
DBK_Concrete_Pillar_B,8,Stage,7.860114,0,-8.087212,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Pillar_B,Static,Object,1,0,0,0,0,None
DBK_Concrete_Pillar_End_B,7,Stage,4.233931,0,-9.177332,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Pillar_End_B,Static,Object,1,0,0,0,0,None
DBK_Concrete_Wall_90_B,6,Stage,-7.688408,0,-10.08298,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Wall_90_B,Static,Object,1,0,0,0,0,None
DBK_Concrete_Wall_End_A,5,Stage,-4.864047,0,-9.221472,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Wall_End_A,Static,Object,1,0,0,0,0,None
DBK_Concrete_Wall_End_B,4,Stage,-1.751467,0,-10.87372,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Wall_End_B,Static,Object,1,0,0,0,0,None
DBK_Concrete_Wall_Side_B,3,Stage,2.172025,0,-12.90303,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Wall_Side_B,Static,Object,1,0,0,0,0,None
DBK_Concrete_Wall_Tile_C,2,Stage,6.455501,0,-11.00131,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_Wall_Tile_C,Static,Object,1,0,0,0,0,None
DBK_Concrete_WinDouble_Full,1,Stage,13.40955,0,-12.60264,2.504478E-06,0,0,1,1,1,Stage/DBK_Concrete_WinDouble_Full,Static,Object,1,0,0,0,0,None
