名前,ID,アクタータイプ,座標X,座標Y,座標Z,回転X,回転Y,回転Z,大きさX,大きさY,大きさZ,モデルのパス,優先度,ゲームタグ,当たり判定無視,トリガー,重力を受ける,コリジョンの半径,コリジョンの高さ,パスをまとめたパス
wall-fortified-gate,208,Stage,0,0,15,0,0,0,10,10,10,Stage1/wall-fortified-gate,Static,Object,1,1,0,0,0,None
wall-fortified-gate (2),344,Stage,0,5,101,0,0,0,13,13,13,Stage1/wall-fortified-gate,Static,Object,1,1,0,0,0,None
floor,148,Stage,0,0,0,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (3),306,Stage,0,0,-5,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (4),106,Stage,5,0,-5,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (5),251,Stage,5,0,0,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (6),177,Stage,5,0,5,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (7),310,Stage,5,0,10,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (8),260,Stage,-5,0,-5,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (9),136,Stage,-5,0,0,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (10),146,Stage,-5,0,5,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (11),330,Stage,-5,0,10,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (1),271,Stage,0,0,5,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (2),300,Stage,0,0,10,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (12),38,Stage,0,0,15,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (13),7,Stage,0,0,20,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (14),190,Stage,0,0,25,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (15),221,Stage,0,0,30,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (16),10,Stage,0,0,35,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
floor (25),102,Stage,0,0,40,0,0,0,5,5,5,Stage1/floor,Static,Object,1,1,0,0,0,None
