名前,ID,アクタータイプ,座標X,座標Y,座標Z,回転X,回転Y,回転Z,大きさX,大きさY,大きさZ,モデルのパス,優先度,ゲームタグ,当たり判定無視,トリガー,重力を受ける,コリジョンの半径,コリジョンの高さ,パスをまとめたパス
DBK_Concete_Floor_Full,46,Stage,15,-2,-15,2.504478E-06,0,0,10,10,10,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,45,Stage,15,-1,-15,2.504478E-06,0,0,10,5,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,44,Stage,15,-1,-15,0,90,0,10,5,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,43,Stage,-15,-1,-15,0,90,0,10,5,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full,40,Stage,15,-2,15,2.504478E-06,0,0,10,10,10,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,41,Stage,15,-1,15,0,90,0,10,5,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,42,Stage,-15,-1,15,0,90,0,10,5,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full,39,Stage,15,-9,45,2.504478E-06,0,0,10,10,10,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,38,Stage,15,-8,45,0,90,0,10,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,37,Stage,-15,-8,45,0,90,0,10,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full,33,Stage,15,-9,75,2.504478E-06,0,0,10,10,10,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,34,Stage,15,-8,75,0,90,0,10,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,35,Stage,-15,-8,75,0,90,0,10,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full,32,Stage,15,-9.23,97.88,350,0,0,10,10,11,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,31,Stage,15,-8,100,0,90,0,10,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,28,Stage,30,-8,130,0,90,0,30,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,26,Stage,45,-8,180,0,0,0,30,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,25,Stage,45,-8,130,0,0,0,10,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,24,Stage,-15,-8,130,0,0,0,10,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,27,Stage,-30,-8,130,0,90,0,30,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,30,Stage,-15,-8,100,0,90,0,10,10,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Wall_Full,36,Stage,15,-15,45.5,0,0,0,10,5,3,Stage/DBK_Concete_Wall_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full,29,Stage,45,-3.5,130,2.504478E-06,0,0,30,10,30,Stage/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
Cube,1,Stage,0,-1,-5,0,0,0,100,2,100,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,2,Stage,0,-5,44.98,0,0,0,50,10,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,3,Stage,0,-7.5,70.73,0,0,0,50,1,60,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,4,Stage,0,-7.15,100.5,350,0,0,50,1,60,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,5,Stage,0,-2,160,0,0,0,70,1,60,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,6,Stage,0,5,-15.5,0,0,0,70,20,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,11,Stage,0,10,179.9,0,0,0,70,30,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,12,Stage,-30.5,10,160,0,90,0,70,30,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,14,Stage,-40,10,129.5,0,0,0,50,30,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,15,Stage,39.5,10,129.5,0,0,0,50,30,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,13,Stage,29.9,10,160,0,90,0,70,30,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,7,Stage,14.9,5,15,0,90,0,70,20,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,10,Stage,14.9,5,87,0,90,0,85,40,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,8,Stage,-15.5,5,15,0,90,0,70,20,1,Collision/Cube,Static,None,0,0,0,0,0,None
Cube,9,Stage,-15.5,5,87,0,90,0,85,40,1,Collision/Cube,Static,None,0,0,0,0,0,None
