Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Player,0,1.13,3.06,0,90,0,1,1,1
BossMuscle,240.307,6.44,93.66,0,180,0,2,2,2
Bomber,67.69729,5.66,0.04184723,0,270,0,1,1,1
Bomber,67.94047,2.142313,8.235651,0,270,0,1,1,1
Bomber,66.58,2.142313,-5.72,0,270,0,1,1,1
Bomber,61.32,2.849999,5.55,0,270,0,1,1,1
Bomber,60.39,2.849999,-3.6,0,270,0,1,1,1
Bomber,72.85,2.849999,-4.61,0,270,0,1,1,1
Bomber,73.51,2.849999,5.76,0,270,0,1,1,1
Bomber,127.2285,9.7,23.90407,0,240,0,1,1,1
PurpleDinosaur,118.5698,6.8,14.26905,0,0,0,1,1,1
PurpleDinosaur,131.5,5,18.72,0,90,0,1,1,1
PurpleDinosaur,134.29,5.7,10.28,0,330,0,1,1,1
PurpleDinosaur,139.48,5.900001,18.84,0,270,0,1,1,1
SmallDragon,125.1608,5.8,7.603848,0,79.99999,0,1,1,1
SmallDragon,173.6451,5.5,10.46782,0,175.0345,0,1,1,1
SmallDragon,177.2917,5.2,5.118883,0,306.3238,0,1,1,1
SmallDragon,169.7801,5.1,4.565363,0,66.17767,0,1,1,1
PurpleDinosaur,213.6926,5.900002,6.647619,0,270,0,1,1,1
PurpleDinosaur,215.2494,5.899999,2.332962,0,270,0,1,1,1
PurpleDinosaur,215.4768,5.900006,-1.541281,0,270,0,1,1,1
PurpleDinosaur,216.3998,5.900002,-6.607548,0,270,0,1,1,1
PurpleDinosaur,216.5627,5.900006,-10.95784,0,270,0,1,1,1
PurpleDinosaur,212.39,5.900006,11.90117,0,270,0,1,1,1
