Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Player,0,12.5,3.06,0,90,0,1,1,1
SmallDragon,78.74,12.5,3.97,0,270,0,0.5,0.5,0.5
SmallDragon,69.55,12.5,1.55,0,270,0,0.5,0.5,0.5
SmallDragon,113.17,13.86,4.24,0,270,0,0.5,0.5,0.5
SmallDragon,118.87,13.95,2.73,0,270,0,0.5,0.5,0.5
SmallDragon,144.55,13.08,7.86,0,270,0,0.5,0.5,0.5
SmallDragon,139.39,13.08,7.86,0,270,0,0.5,0.5,0.5
SmallDragon,118.67,13.95,6.71,0,270,0,0.5,0.5,0.5
BossDragon,170.5,12.1,3.9,0,270,0,1,1,1
PurpleDinosaur,69.15,12.5,5.22,0,270,0,0.5,0.5,0.5
PurpleDinosaur,29.38,12.5,5.22,0,270,0,0.5,0.5,0.5
PurpleDinosaur,116.39,14.5,2.28,0,270,0,0.5,0.5,0.5
Bomber,76,14.5,4.73,0,270,0,0.5,0.5,0.5
PurpleDinosaur,81.18,14.5,6.11,0,270,0,0.5,0.5,0.5
PurpleDinosaur,145.27,14.5,3.64,0,270,0,0.5,0.5,0.5
PurpleDinosaur,148.54,14.5,2.28,0,270,0,0.5,0.5,0.5
Bomber,142.14,14.5,4.73,0,270,0,0.5,0.5,0.5
