Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Rock1,2.22,0.91,-1.73,0,0,0,4,4,4
Rock1,-4.14,0.91,4.11,0,8.919996,0,4,4,4
Rock1,-3.09,0.91,3.01,0,8.919996,0,2,2,2
Block_Grass,0,0,0,0,0,0,2000,100,2000
Tree1,2.692546,1.11,0.3843603,0,0,0,1,1,1
Tree1,-5.4,1.11,1.48,0,0,0,1,1,1
Tree1,-3.73,1.11,7.87,0,0,0,1,1,1
Tree1,2.22,1.11,7.58,0,0,0,1,1,1
Tree1,-8.37,1.11,5.39,0,0,0,1,1,1
Tree1,4.65,1.11,2.27,0,0,0,1,1,1
Grass1,-0.71,0.82,3.82,0,0,0,1,1,1
Grass1,-1.78,0.36,2.03,0,0,0,1,1,1
Grass1,1.23,0.36,2.53,0,0,0,1,1,1
Grass1,-1.86,0.36,-0.16,0,0,0,1,1,1
Grass1,-2.93,0.36,5.99,0,0,0,1,1,1
Grass1,0.4,0.36,6.27,0,0,0,1,1,1
Rock2,3.17,-2.18,12.11,-9.334667E-06,0,0,3,3,3
Rock2,-6.13,0.12,13.49,0,69.99999,0,3,3,3
Rock2,-11.79,-3.33,12.07,0,69.99999,0,3,3,3
Rock2,8.39,-1.77,11.88,0,69.99999,0,3,3,3
Tree2,-11.78,-1.83,19.71,0,0,0,2,2,2
Tree2,12.23,-1.83,8.91,0,0,0,2,2,2
Tree2,-15.83,-1.83,9.87,0,0,0,2,2,2
